BBL,Calendar Year,Fuel Oil,Electricity,Natural Gas,Others
2053860017,2022,0.0,39.489257957999996,141.31507737799998,0.0
2025990128,2022,16.48851,21.296788361999997,9.225207,0.0
2025990123,2022,0.0,24.873848959999997,12.146257,0.0
4001050012,2022,0.0,147.9089273098,36.837095999999995,0.0
1010950024,2022,0.0,96.138235324,7.1061179999999995,0.0
1015710035,2022,0.0,0.0,6.659994,0.0
4050050059,2022,0.0,140.64153300979999,630.739686933,0.0
4024310023,2022,0.0,207.4420343978,5.677459,0.0
4017820005,2022,0.0,139.47990576979998,2.910428,0.0
1008410027,2022,0.0,201.5232257518,54.936983999999995,131.6381605
2057087501,2022,0.0,171.7139058318,98.34378699999999,0.0
3001470036,2022,0.0,209.2630729218,165.91565062200002,0.0
1012990041,2022,0.0,127.4353916858,38.403846310999995,0.0
1008410018,2022,178.36305968899998,85.299270704,0.568277,0.0
1007870065,2022,0.0,69.57482555,50.18895,0.0
1007600012,2022,293.60070381599996,152.0014961158,0.037177,0.0
1007800010,2022,461.678242355,179.20062228979998,0.0,0.0
1008370056,2022,103.72064544,167.0954261858,42.052498,0.0
1007780020,2022,0.0,411.10305881799997,178.99662768899998,0.0
1008710003,2022,397.59290015500005,482.11194498159995,0.21244,0.0
4004620053,2022,0.0,271.373749946,59.063631,0.0
4004620016,2022,0.0,176.9799493198,132.514771622,0.0
4004620161,2022,0.0,15.553090688,0.0,0.0
4097600027,2022,184.51686457099999,136.283725984,4.907363999999999,0.0
1021090046,2022,0.0,194.21913327779998,374.027196244,0.0
2028110024,2022,0.0,46.56969384399999,122.508821067,0.0
1002300042,2022,0.0,37.059665462,0.0,0.0
1004200068,2022,0.0,65.692910042,75.941983689,0.0
1004257501,2022,0.0,93.78550671999999,139.249109,0.0
1004667502,2022,0.0,463.88075447759996,276.225147177,0.0
1005290062,2022,0.0,19.151245512,1.32775,0.0
1008110016,2022,184.37551678399998,242.76099277179998,0.10622,0.0
1008400058,2022,0.0,52.97684827,0.0,99.727984886
1008670020,2022,0.0,169.8891108018,34.394036,0.0
1013050023,2022,462.3543013810001,122.20694215399999,129.18475868899998,0.0
1013440030,2022,0.0,246.40306981979998,393.491995311,0.0
1018450014,2022,0.0,39.133834697999994,102.125224311,0.0
1020650022,2022,0.0,58.309641979999995,46.200389,0.0
1021347502,2022,0.0,126.62138573179999,7.929323,0.0
1022370064,2022,0.0,45.816947834,39.912165,0.0
2039980010,2022,0.0,92.375661122,288.81218,0.0
2046490021,2022,0.0,44.803847061999996,6.7449699999999995,0.0
